,polarity,comment
0,1,song name please comment
1,0,1:14 look Drake
2,0,Back after 11 years
3,-1,No more dislikes
4,1,very nice song
5,-1,This is the most disliked video song in the world!
6,0,Osm
7,1,Let's see who came here after Turpin sisters. I hope Bieber finds out his songs were a piece of freedom and solace for Jordan.
8,0,Gila dh 11 tahun gua aja 15 th berarti ini di post pas aku 4th
9,-1,Use this as a dislike button
10,-1,Damm why did he remove the dislikes
11,-1,It's crazy how many people come back to this everyday.This song is legendary
12,-1,YouTube removed the dislike button?  We will create our own
13,1,It's December 2021 let's who's watching this masterpiece song
14,0,DECEMBER 2021?
15,0,Back again
16,1,NC MUSIC MY FAVORITE
17,-1,imagine dislike count deleted and dislike record has gone :( this song has so much dislike before dislike removed:(
18,0,"lagu pertama yang mengenalkanku dengan Justin Beiber. Ternyata udah belasan tahun, ya! kalo gak salah, lagu ini menjadi lagu favoriteku di tahun 2010"
19,0,Alguien del 2021
20,-1,So bad song  from back
21,0,2021-2022
22,-1,Where did all 12 million dislikes gone? BTW this song is  a masterpiece......
23,0,Sss
24,0,Tuesday morning Tuesday Tuyeres Tuesday Tuesday
25,1,Love from india
26,1,Okay okay I'm okay y I'm okay
27,0,Aubrey don't your dad said he
28,-1,This shit goes hard
29,1,"Wow this song doesn't have any dislikes, this must be a masterpiece"
30,1,"Lord, I love you right back. And because I'm overwhelmed by your precious, powerful love for me, I offer my life as a sacrifice of love back to You. Use me to love others, Lord, the way You love me. I pray in Jesus' precious, saving name"
31,0,Wing Seng manwai  to be a
32,0,This song will always be a Legend
33,0,Any body from India
34,-1,2021 update its terrible :&lt;
35,0,This is a legendary song.........
36,0,It's been 11 year
37,1,"It's December 2021, Let's see how many Legends are listing  to this masterpiece"
38,1,"Oh whoaOh whoaOh whoaYou know you love me, I know you careJust shout whenever and I'll be thereYou are my love, you are my heartAnd we will never, ever, ever be apartAre we an item? Girl, quit playingWe're just friends, what are you saying?Said, There's another and look right in my eyesMy first love broke my heart for the first time and I was likeBaby, baby, baby, ohLike baby, baby, baby, noLike baby, baby, baby, ohThought you'd always be mine, mineBaby, baby, baby, ohLike baby, baby, baby, noLike baby, baby, baby, ohThought you'd always be mine, mineOh, for you I would have done whateverAnd I just can't believe we ain't togetherAnd I wanna play it cool, but I'm losin' youI'll buy you anything, I'll buy you any ringAnd I'm in pieces, baby, fix meAnd just shake me 'til you wake me from this bad dreamI'm going down, down, down, downAnd I just can't believe my first love won't be around and I'm likeBaby, baby, baby, ohLike baby, baby, baby, noLike baby, baby, baby, ohThought you'd always be mine, mineBaby, baby, baby, ohLike baby, baby, baby, noLike baby, baby, baby, ohThought you'd always be mine, mineLuda!When I was 13, I had my first loveThere was nobody that compared to my babyAnd nobody came between us or could ever come aboveShe had me going crazyOh, I was star-struckShe woke me up daily, don't need no StarbucksShe made my heart poundIt skip a beat when I see her in the street andAt school on the playground but I really wanna see her on the weekendShe knows she got me dazing'Cause she was so amazingAnd now my heart is breaking but I just keep on sayingBaby, baby, baby, ohLike baby, baby, baby, noLike baby, baby, baby, ohThought you'd always be mine, mineBaby, baby, baby, ohLike baby, baby, baby, noLike baby, baby, baby, ohThought you'd always be mine, mineI'm gone (yeah, yeah, yeah, yeah, yeah, yeah)Now I'm all gone (yeah, yeah, yeah, yeah, yeah, yeah)Now I'm all gone (yeah, yeah, yeah, yeah, yeah, yeah)Now I'm all gone (gone, gone, gone)I'm gone"
39,0,Somaliland models
40,-1,Alone boy Justin
41,0,Amazings
42,-1,12 Million Dislikes for anyone wondering.
43,0,Ssss
44,1,"It's DECEMBER 2021, let's see how many legends are still listening to this masterpiece."
45,1,"This Song Is Like A Wine, The More You Listen to It The Better You Feel more. I Really Love This Beautiful Song..."
46,-1,It's crazy how many legends come back this song everyday.This song is Legendary..
47,0,Still Addicted &lt;3
48,-1,Don't understand why YouTube gotta remove the dislikes
49,-1,This song hit different on mute no cap!
50,-1,Dislike
51,-1,Can we keep track of how many dislikes this song has? I don't think it should ever be forgotten lol
52,0,Beibe
53,1,Wow
54,1,Fun fact:After 11 years the comment section is always active
55,1,Wait so this is young love?
56,1,This song has not a single dislike!!!
57,-1,Where is te dislike bottem???
58,0,Who came here after 11 years later?
